Filename,Top_left_lat,Top_left_lon,Bottom_right_lat,Bottom_right_long
59.449571_24.458499_16.png,59.449571,24.458499,59.448671,24.459699
59.449571_24.459399_16.png,59.449571,24.459399,59.448671,24.460599000000002
59.449571_24.460299_16.png,59.449571,24.460299,59.448671,24.461499
59.449571_24.461199_16.png,59.449571,24.461199,59.448671,24.462399
59.449571_24.462099_16.png,59.449571,24.462099,59.448671,24.463299
59.449571_24.462999_16.png,59.449571,24.462999,59.448671,24.464199
59.449571_24.463899_16.png,59.449571,24.463899,59.448671,24.465099000000002
59.449571_24.464799_16.png,59.449571,24.464799,59.448671,24.465999
59.449571_24.465699_16.png,59.449571,24.465699,59.448671,24.466899
59.449571_24.466599_16.png,59.449571,24.466599,59.448671,24.467799
59.449571_24.467499_16.png,59.449571,24.467499,59.448671,24.468699
59.449571_24.468399_16.png,59.449571,24.468399,59.448671,24.469599000000002
59.449571_24.469299_16.png,59.449571,24.469299,59.448671,24.470499
59.449571_24.470199_16.png,59.449571,24.470199,59.448671,24.471399
59.449571_24.471099_16.png,59.449571,24.471099,59.448671,24.472299
59.449571_24.471999_16.png,59.449571,24.471999,59.448671,24.473199
59.449571_24.472899_16.png,59.449571,24.472899,59.448671,24.474099000000002
59.449571_24.473799_16.png,59.449571,24.473799,59.448671,24.474999
59.449571_24.474699_16.png,59.449571,24.474699,59.448671,24.475899000000002
59.449571_24.475599_16.png,59.449571,24.475599,59.448671,24.476799
59.449571_24.476499_16.png,59.449571,24.476499,59.448671,24.477699
59.449571_24.477399_16.png,59.449571,24.477399,59.448671,24.478599
59.449571_24.478299_16.png,59.449571,24.478299,59.448671,24.479499
59.449571_24.479199_16.png,59.449571,24.479199,59.448671,24.480399000000002
59.449571_24.480099_16.png,59.449571,24.480099,59.448671,24.481299
59.449571_24.480999_16.png,59.449571,24.480999,59.448671,24.482199
59.449571_24.481899_16.png,59.449571,24.481899,59.448671,24.483099
59.449571_24.482799_16.png,59.449571,24.482799,59.448671,24.483999
59.449571_24.483699_16.png,59.449571,24.483699,59.448671,24.484899000000002
